=== 日志会话开始: 2025/7/26 13:42:29 ===
[2025-07-26 13:42:29] [Log] 自定义日志系统已初始化，日志文件路径: D:/1_Project/2025.07 adventureX 2025/edrFerd/Assets\Log\log.log
[2025-07-26 13:42:29] [Log] 编辑器日志系统已初始化
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_15_-11_8_-3 1
[2025-07-26 13:42:30] [Warning] 获取Tick更新失败: Cannot connect to destination host
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 10.00, -3.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 10.00, -3.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 10.00, -3.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 10.00, -3.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 10.00, -3.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 10.00, -3.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:30] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_24_-13_10_-2 1
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-13.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 2
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 2
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-12.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 2
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 2
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-12.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 2
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 2
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-12.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 2
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 2
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-12.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 2
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 2
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-12.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 2
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 2
[2025-07-26 13:42:31] [Log] 检测到碰撞，调整位置到: (-12.00, 11.00, -2.00)
[2025-07-26 13:42:31] [Log] functionBlocks hit0 Block_25_-12_10_-2 3
[2025-07-26 13:42:31] [Log] functionBlocks hit1 Block_24_-13_10_-2 3
[2025-07-26 13:42:31] [Log] functionBlocks hit2 Block_23_-13_9_-2 3
